22,4,0,5,0,3,0,2,0,1,0,5,0,4,0,3,0,2,1,5,1,4,0,5,1,4,0,5,0,3,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,2,0,5,0,3,1,5,0,4,0,3,0,2,0,1,1,5,0,4,0,3,0,2,0,1,0,4,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,2,1,5,1,2,1,5,1,2,1,5,0,4,1,5,1,4,0,5,1,3,0,5,1,4,0,5,1,3,0,5,1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,3,1,2,0,5,1,2,1,5,0,4,1,5,0,4,0,3,0,5,0,2,1,5,0,4,0,3,0,2,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,3,0,5,0,4,0,2,0,1,0,5,0,4,0,3,0,2,0,1,0,5,0,4,0,3,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,3,0,5,1,4,1,3,0,5,0,4,0,2,0,1,0,4,0,5,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,4,0,5,1,2,0,5,1,2,0,5,1,4,0,5,0,3,0,1,0,4,0,5,1,3,0,5,1,4,0,5,0,4,0,5,1,4,0,5,1,3,1,5,0,3,1,9
10,3,1,5,1,2,0,5,0,4,0,3,0,5,0,1,0,4,0,3,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,4,1,2,0,5,0,4,0,3,0,1,0,4,0,5,0,3,0,2,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,3,0,4,1,5,0,4,0,3,0,2,1,5,1,3,0,5,0,4,0,2,0,1,1,5,0,4,0,3,0,2,0,1,0,5,0,1,0,4,0,9,-1,-1,-1,-1,-1,-1
31,2,1,5,1,3,0,5,0,4,0,2,0,1,0,5,0,4,0,3,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,4,0,5,0,3,1,5,1,3,0,4,1,5,0,4,0,3,0,2,1,5,1,3,0,5,0,4,0,2,0,4,0,1,1,4,0,5,0,3,0,5,0,2,0,3,0,9
1,3,1,5,1,4,1,5,0,4,0,3,0,2,1,5,0,4,0,3,0,2,0,1,1,5,0,4,0,3,0,2,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,3,1,5,1,2,1,5,0,4,1,5,0,4,0,3,0,2,0,1,1,5,1,2,0,5,1,2,0,5,0,4,0,3,0,1,1,5,0,2,0,5,0,3,0,1,0,9
18,4,0,5,1,4,0,2,1,5,0,2,0,4,0,3,1,5,0,4,0,3,0,2,0,1,0,3,0,5,1,2,0,5,0,4,0,3,0,1,0,5,1,9,-1,-1,-1,-1
6,4,0,5,0,3,0,2,1,5,1,2,0,4,0,5,0,2,0,3,0,1,0,5,0,4,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,3,1,5,1,4,0,5,0,3,0,2,1,5,1,2,0,5,0,2,0,4,0,3,0,1,1,5,0,4,0,3,0,2,0,1,0,3,0,1,0,5,0,9,-1,-1,-1,-1
30,4,0,5,1,4,0,5,1,3,0,5,1,4,0,5,0,3,0,2,1,5,0,4,0,3,1,5,1,4,0,5,1,3,1,4,0,3,0,2,1,3,0,2,0,9,-1,-1
31,4,0,5,0,3,0,2,1,5,0,4,0,3,0,2,1,3,0,2,0,1,1,5,0,4,0,3,0,5,0,2,0,1,1,4,0,1,0,2,0,1,0,9,-1,-1,-1,-1
0,4,1,5,1,4,0,5,1,2,0,5,0,3,1,5,0,4,0,3,0,2,0,4,0,1,1,5,0,4,0,3,0,5,0,2,1,5,0,4,0,9,-1,-1,-1,-1,-1,-1
11,2,0,5,0,4,0,2,0,3,1,5,1,4,0,5,0,3,0,2,0,1,0,4,0,5,0,3,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,5,1,2,0,5,1,2,1,5,0,2,1,4,0,2,0,5,0,3,1,5,1,2,0,5,1,4,0,5,0,3,0,2,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,3,0,4,1,5,1,2,1,5,1,4,1,5,1,4,0,5,0,3,0,2,0,1,0,5,0,4,0,3,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,2,0,3,1,5,1,2,1,5,0,4,0,3,0,2,0,1,0,3,0,2,0,5,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,2,0,5,1,4,0,5,0,3,1,5,0,4,0,3,0,4,0,2,0,1,1,5,0,4,0,3,0,2,0,1,0,2,0,1,0,2,0,9,-1,-1,-1,-1,-1,-1,-1,-1
12,2,0,5,1,3,0,5,1,2,0,5,0,4,1,5,0,4,0,3,0,2,0,1,1,5,0,4,0,3,0,2,0,1,0,2,0,1,0,9,-1,-1,-1,-1,-1,-1,-1,-1